ID,Gender,WH,random_int_1
13506,m,52,1586
13507,m,0,1624
13508,f,51,1620
13509,f,41,1610
13510,f,53,1598
13511,f,40,1587
13512,m,2,1602
13513,m,57,1598
13514,m,26,1613
13515,m,14,1607
13516,f,57,1600
13517,f,44,1604
13518,f,58,1605
13519,f,58,1623
13520,m,50,1619
13521,m,39,1623
13522,f,15,1594
13523,m,25,1587
13524,m,31,1598
13525,f,34,1603
13526,f,44,1617
13527,f,20,1591
13528,m,55,1608
13529,m,42,1619
13530,m,13,1591
13531,m,58,1608
13532,f,25,1606
13533,f,15,1595
13534,m,35,1615
13535,m,5,1620
13536,m,54,1613
13537,m,52,1587
13538,f,46,1609
13539,f,49,1605
13540,m,25,1614
13541,m,0,1607
13542,m,38,1617
13543,f,16,1606
13544,f,24,1609
13545,f,27,1606
13546,m,56,1587
13547,m,26,1615
13548,m,46,1604
13549,m,12,1616
13550,f,7,1612
13551,m,30,1624
13552,f,17,1607
13553,f,50,1622
13554,m,40,1594
13555,f,0,1620
13556,f,53,1594
13557,m,1,1592
13558,m,53,1596
13559,m,9,1620
13560,f,8,1610
13561,m,50,1598
13562,f,7,1606
13563,m,42,1611
13564,f,0,1620
13565,f,54,1593
13566,m,46,1586
13567,f,36,1616
13568,f,24,1597
13569,f,14,1613
13570,f,11,1593
13571,m,15,1604
13572,f,13,1600
13573,f,20,1618
13574,m,51,1609
13575,m,19,1591
13576,m,1,1613
13577,f,28,1616
13578,f,6,1624
13579,f,53,1595
13580,m,0,1589
13581,f,48,1590
13582,m,22,1606
13583,m,36,1620
13584,f,58,1588
13585,f,28,1593
13586,m,14,1619
13587,f,47,1601
13588,f,56,1594
13589,m,16,1603
13590,f,12,1590
13591,m,51,1592
13592,f,3,1618
13593,f,47,1613
13594,m,22,1623
13595,f,21,1606
13596,f,45,1589
13597,f,27,1603
13598,f,51,1596
13599,m,57,1605
13600,f,10,1615
13601,f,55,1604
13602,f,32,1615
13603,f,59,1612
13604,f,10,1586
13605,f,9,1611
13606,f,22,1625
13607,m,22,1615
13608,f,38,1589
13609,m,0,1613
13610,m,53,1597
13611,f,19,1616
13612,f,27,1602
13613,m,19,1609
13614,f,38,1591
13615,m,27,1598
13616,m,26,1607
13617,f,23,1611
13618,m,19,1604
13619,f,7,1599
13620,m,48,1622
13621,m,0,1618
13622,m,41,1608
13623,f,0,1601
13624,f,59,1589
13625,m,43,1617
13626,f,35,1591
13627,f,1,1603
13628,f,15,1590
13629,f,49,1606
13630,m,0,1622
13631,m,3,1625
13632,m,57,1603
13633,m,5,1623
13634,m,11,1624
13635,m,48,1616
13636,f,56,1611
13637,m,16,1607
13638,m,2,1624
13639,m,32,1603
13640,m,22,1606
13641,f,21,1618
13642,f,54,1599
13643,f,54,1623
13644,f,40,1610
13645,f,49,1594
13646,m,6,1596
13647,f,21,1605
13648,m,55,1614
13649,m,45,1616
13650,f,5,1620
13651,f,20,1601
13652,m,12,1605
13653,m,28,1619
13654,f,50,1619
13655,f,36,1600
13656,f,57,1589
13657,m,27,1620
13658,m,12,1592
13659,m,6,1587
13660,m,13,1590
13661,f,18,1612
13662,f,42,1616
13663,m,24,1604
13664,m,48,1609
13665,m,1,1622
13666,m,29,1598
13667,f,0,1605
13668,m,16,1602
13669,f,55,1596
13670,m,19,1622
13671,m,35,1601
13672,m,54,1591
13673,m,7,1612
13674,m,22,1606
13675,m,22,1597
13676,f,45,1593
13677,f,43,1607
13678,f,40,1590
13679,f,47,1607
13680,f,53,1591
13681,m,4,1604
13682,m,30,1609
13683,f,3,1621
13684,f,39,1614
13685,f,23,1596
13686,m,48,1624
13687,f,13,1621
13688,m,32,1622
13689,m,43,1608
13690,m,54,1619
13691,f,26,1600
13692,f,26,1609
13693,f,2,1600
13694,f,29,1601
13695,m,57,1614
13696,m,40,1604
13697,f,7,1624
13698,f,0,1612
13699,m,47,1623
13700,f,53,1617
13701,f,44,1593
13702,m,18,1612
13703,f,55,1606
13704,f,8,1606
13705,m,36,1623
13706,f,5,1619
13707,f,0,1624
13708,f,54,1603
13709,m,15,1603
13710,f,42,1618
13711,m,18,1606
13712,m,44,1598
13713,m,36,1618
13714,m,54,1595
13715,f,26,1612
13716,f,38,1604
13717,f,4,1587
13718,f,22,1619
13719,m,53,1615
13720,m,47,1597
13721,f,13,1624
13722,m,28,1612
13723,f,3,1619
13724,f,11,1608
13725,f,24,1615
13726,m,24,1599
13727,f,19,1612
13728,f,57,1608
13729,f,46,1611
13730,f,42,1593
13731,f,41,1604
13732,f,23,1596
13733,m,58,1622
13734,f,0,1621
13735,m,20,1624
13736,f,41,1604
13737,m,26,1603
13738,m,47,1614
13739,f,57,1588
13740,m,27,1593
13741,m,3,1608
13742,f,33,1611
13743,f,14,1605
13744,f,50,1598
13745,f,47,1606
13746,m,24,1604
13747,m,29,1611
13748,f,47,1601
13749,f,45,1597
13750,f,54,1623
13751,m,30,1624
13752,f,37,1624
13753,f,16,1601
13754,m,8,1604
13755,m,17,1610
13756,f,57,1587
13757,m,39,1596
13758,f,25,1613
13759,m,4,1606
13760,f,3,1612
13761,f,16,1587
13762,m,49,1614
13763,m,37,1598
13764,f,30,1603
13765,m,33,1621
13766,f,58,1605
13767,m,3,1586
13768,m,56,1617
13769,f,38,1612
13770,m,28,1599
13771,f,15,1590
13772,f,29,1599
13773,m,41,1606
13774,m,23,1606
13775,f,22,1594
13776,m,0,1620
13777,f,25,1608
13778,m,56,1602
13779,m,57,1614
13780,m,42,1593
13781,f,42,1614
13782,m,3,1591
13783,m,3,1614
13784,m,44,1624
13785,f,27,1618
13786,m,12,1591
13787,m,15,1623
13788,f,46,1605
13789,m,4,1607
13790,m,12,1605
13791,f,38,1601
13792,f,53,1600
13793,m,14,1624
13794,f,41,1608
13795,m,45,1597
13796,f,22,1606
13797,f,3,1603
13798,m,11,1619
13799,m,32,1609
13800,m,46,1611
13801,m,55,1622
13802,f,50,1594
13803,m,1,1623
13804,m,36,1608
13805,m,54,1622
13806,m,34,1588
13807,f,44,1597
13808,m,31,1595
13809,f,27,1594
13810,f,26,1618
13811,f,53,1619
13812,m,46,1599
13813,m,45,1621
13814,f,21,1623
13815,m,26,1613
13816,f,11,1617
13817,f,48,1586
13818,m,1,1589
13819,f,19,1623
13820,m,28,1607
13821,f,23,1614
13822,m,54,1614
13823,f,50,1611
13824,f,12,1615
13825,m,28,1595
13826,f,33,1613
13827,f,9,1625
13828,m,15,1594
13829,m,14,1591
13830,f,59,1598
13831,f,43,1612
13832,f,14,1619
13833,f,9,1614
13834,f,35,1616
13835,f,29,1612
13836,f,20,1617
13837,f,35,1617
13838,m,8,1609
13839,m,37,1603
13840,m,26,1590
13841,m,45,1620
13842,m,16,1595
13843,m,27,1624
13844,f,1,1609
13845,m,38,1623
13846,m,56,1611
13847,f,39,1588
13848,m,7,1622
13849,m,34,1605
13850,f,8,1601
13851,f,59,1615
13852,f,0,1587
13853,m,7,1589
13854,f,9,1601
13855,m,25,1600
13856,m,12,1623
13857,m,33,1597
13858,m,29,1623
13859,m,3,1589
13860,m,22,1607
13861,f,4,1591
13862,m,2,1621
13863,f,26,1601
13864,f,48,1599
13865,f,41,1595
13866,m,56,1599
13867,f,59,1611
13868,f,44,1590
13869,m,9,1622
13870,f,54,1595
13871,m,54,1588
13872,f,5,1613
13873,m,50,1607
13874,m,55,1606
13875,m,36,1588
13876,m,0,1619
13877,m,46,1605
13878,m,29,1606
13879,f,28,1612
13880,f,54,1606
13881,f,54,1613
13882,f,16,1586
13883,m,18,1605
13884,f,34,1620
13885,f,45,1600
13886,f,30,1592
13887,m,27,1592
13888,m,53,1604
13889,f,23,1603
13890,m,46,1619
13891,m,35,1608
13892,f,20,1613
13893,f,5,1607
13894,f,13,1603
13895,f,22,1607
13896,m,46,1602
13897,m,40,1622
13898,f,25,1617
13899,f,50,1607
13900,m,20,1598
13901,f,36,1600
13902,f,59,1602
13903,m,43,1610
13904,f,31,1604
13905,m,40,1610
13906,f,39,1611
13907,f,44,1625
13908,f,25,1603
13909,m,9,1597
13910,m,44,1612
13911,m,8,1588
13912,m,52,1610
13913,f,44,1591
13914,m,7,1612
13915,f,45,1619
13916,m,54,1590
13917,m,23,1625
13918,m,52,1602
13919,m,20,1588
13920,f,50,1587
13921,f,59,1597
13922,f,51,1599
13923,m,22,1601
13924,f,37,1614
13925,m,28,1602
13926,f,22,1616
13927,m,26,1587
13928,m,0,1593
13929,f,2,1625
13930,f,48,1624
13931,m,46,1618
13932,m,26,1587
13933,m,24,1625
13934,f,55,1606
13935,f,47,1589
13936,f,39,1620
13937,f,23,1601
13938,f,38,1609
13939,m,17,1600
13940,f,9,1597
13941,f,7,1607
13942,m,39,1613
13943,f,14,1593
13944,f,57,1598
13945,m,14,1620
13946,m,0,1591
13947,m,36,1592
13948,m,35,1599
13949,m,47,1592
13950,f,32,1613
13951,f,22,1596
13952,f,35,1592
13953,m,5,1599
13954,f,10,1607
13955,m,17,1615
13956,m,1,1613
13957,f,29,1615
13958,f,8,1594
13959,f,14,1605
13960,f,3,1597
13961,m,17,1592
13962,m,30,1617
13963,m,20,1603
13964,m,13,1595
13965,m,39,1608
13966,m,28,1595
13967,f,52,1601
13968,m,31,1625
13969,m,1,1601
13970,f,33,1603
13971,f,41,1595
13972,m,54,1592
13973,f,2,1622
13974,m,24,1615
13975,m,56,1591
13976,f,59,1622
13977,f,43,1592
13978,f,26,1587
13979,f,55,1613
13980,f,15,1594
13981,m,39,1586
13982,f,8,1603
13983,f,17,1615
13984,f,39,1613
13985,m,2,1587
13986,f,36,1624
13987,f,49,1614
13988,f,18,1619
13989,m,25,1597
13990,m,30,1594
13991,m,36,1600
13992,f,37,1599
13993,f,51,1621
13994,m,33,1617
13995,m,18,1616
13996,m,56,1617
13997,f,29,1594
13998,f,40,1624
13999,m,47,1587
14000,m,45,1623
14001,m,31,1600
14002,f,15,1599
14003,f,20,1621
14004,m,56,1613
14005,m,13,1593
14006,m,26,1610
14007,f,53,1602
14008,m,24,1615
14009,f,9,1602
14010,f,7,1622
14011,f,26,1591
14012,f,36,1602
14013,f,48,1601
14014,f,2,1595
14015,m,3,1617
14016,m,48,1614
14017,m,5,1594
14018,m,57,1625
14019,m,20,1605
14020,m,52,1623
14021,f,55,1616
14022,m,26,1605
14023,m,42,1593
14024,m,11,1597
14025,m,28,1589
14026,f,4,1610
14027,m,53,1598
14028,f,59,1620
14029,m,30,1592
14030,f,27,1609
14031,m,14,1623
14032,f,6,1586
14033,m,58,1612
14034,f,1,1602
14035,f,3,1586
14036,f,32,1608
14037,f,44,1616
14038,f,49,1598
14039,m,10,1609
14040,f,56,1622
14041,f,25,1605
14042,f,9,1602
14043,m,12,1600
14044,f,32,1598
14045,f,35,1601
14046,f,5,1603
14047,f,54,1593
14048,f,33,1620
14049,m,9,1613
14050,f,58,1610
14051,m,38,1596
14052,f,16,1617
14053,m,46,1625
14054,m,37,1617
14055,f,22,1604
14056,m,11,1616
14057,f,3,1612
14058,m,18,1625
14059,m,11,1623
14060,f,9,1599
14061,m,43,1599
14062,f,19,1606
14063,m,23,1596
14064,m,0,1618
14065,f,55,1606
14066,m,24,1622
14067,m,22,1620
14068,f,2,1587
14069,f,36,1594
14070,m,18,1616
14071,m,4,1595
14072,f,22,1615
14073,m,17,1601
14074,m,43,1592
14075,m,31,1615
14076,m,4,1592
14077,f,28,1623
14078,f,23,1591
14079,m,6,1594
14080,f,52,1612
14081,f,36,1588
14082,m,45,1623
14083,f,55,1625
14084,m,59,1587
14085,m,3,1606
14086,m,6,1611
14087,m,9,1595
14088,f,20,1618
14089,m,26,1599
14090,f,51,1614
14091,f,13,1596
14092,f,41,1590
14093,f,44,1589
14094,m,9,1610
14095,f,21,1611
14096,f,14,1589
14097,f,45,1622
14098,m,40,1592
14099,m,27,1605
14100,f,50,1604
14101,f,55,1590
14102,m,45,1588
14103,f,4,1590
14104,m,10,1607
14105,f,31,1595
14106,f,57,1615
14107,m,24,1602
14108,m,21,1622
14109,f,46,1586
14110,f,54,1602
14111,m,9,1606
14112,m,31,1599
14113,f,11,1623
14114,m,45,1618
14115,m,0,1590
14116,m,0,1600
14117,f,47,1614
14118,f,19,1617
14119,m,58,1588
14120,m,29,1592
14121,f,33,1601
14122,f,41,1618
14123,f,58,1608
14124,m,35,1586
14125,m,58,1599
14126,m,57,1586
14127,f,59,1594
14128,m,5,1590
14129,f,20,1624
14130,f,50,1598
14131,m,52,1587
14132,m,38,1606
14133,f,7,1590
14134,m,25,1597
14135,f,50,1603
14136,m,1,1586
14137,m,53,1605
14138,m,40,1618
14139,f,22,1620
14140,m,15,1620
14141,f,20,1619
14142,f,7,1608
14143,m,49,1615
14144,f,46,1621
14145,m,51,1589
14146,m,31,1587
14147,f,21,1586
14148,m,28,1602
14149,m,38,1611
14150,m,54,1617
14151,f,46,1589
14152,f,55,1624
14153,m,43,1600
14154,m,13,1603
14155,f,54,1605
14156,f,23,1595
14157,m,42,1607
14158,m,16,1598
14159,f,40,1606
14160,f,18,1588
14161,f,34,1613
14162,f,23,1589
14163,f,40,1588
14164,m,28,1607
14165,f,6,1624
14166,f,7,1601
14167,f,22,1588
14168,f,12,1612
14169,f,54,1623
14170,f,15,1600
14171,f,25,1612
14172,f,37,1615
14173,f,7,1590
14174,m,13,1623
14175,f,16,1614
14176,m,57,1589
14177,m,43,1611
14178,m,47,1588
14179,f,44,1617
14180,f,4,1610
14181,f,16,1586
14182,f,28,1595
14183,f,38,1600
14184,f,36,1610
14185,m,50,1608
14186,f,29,1592
14187,m,0,1615
14188,f,26,1615
14189,f,17,1603
14190,f,51,1611
14191,m,43,1596
14192,f,49,1595
14193,f,4,1620
14194,m,47,1612
14195,m,48,1599
14196,m,31,1611
14197,f,41,1619
14198,m,20,1609
14199,m,25,1601
14200,m,5,1615
14201,f,22,1590
14202,f,16,1598
14203,f,33,1587
14204,m,6,1587
14205,m,18,1589
14206,m,22,1596
14207,f,57,1595
14208,m,35,1600
14209,m,11,1602
14210,m,15,1620
14211,f,48,1610
14212,f,27,1586
14213,f,31,1588
14214,m,22,1589
14215,m,17,1609
14216,f,15,1620
14217,f,42,1602
14218,f,26,1603
14219,f,27,1600
14220,f,47,1607
14221,f,14,1596
14222,m,6,1604
14223,m,58,1594
14224,m,46,1614
14225,f,46,1610
14226,m,4,1613
14227,m,51,1603
14228,f,10,1607
14229,f,42,1595
14230,f,21,1623
14231,m,7,1597
14232,m,49,1596
14233,m,39,1595
14234,m,18,1602
14235,m,37,1613
14236,f,2,1615
14237,f,6,1623
14238,m,35,1607
14239,f,26,1613
14240,m,58,1599
14241,m,42,1623
14242,m,49,1591
14243,f,30,1621
14244,f,49,1617
14245,f,57,1623
14246,m,27,1591
14247,m,39,1596
14248,m,18,1624
14249,m,45,1587
14250,m,30,1621
14251,m,58,1611
14252,m,37,1613
14253,m,22,1604
14254,m,0,1598
14255,f,55,1591
14256,m,3,1598
14257,m,44,1607
14258,f,23,1602
14259,f,48,1596
14260,f,18,1600
14261,m,1,1605
14262,m,2,1612
14263,f,19,1597
14264,m,3,1587
14265,f,50,1597
14266,f,50,1623
14267,f,38,1622
14268,m,37,1602
14269,f,38,1608
14270,m,53,1605
14271,m,29,1600
14272,m,40,1623
14273,f,14,1587
14274,m,32,1619
14275,m,24,1608
14276,m,7,1592
14277,m,8,1602
14278,f,49,1609
14279,f,12,1615
14280,m,52,1588
14281,f,39,1596
14282,f,32,1614
14283,m,44,1589
14284,m,1,1605
14285,f,9,1606
14286,m,35,1614
14287,m,48,1600
14288,m,8,1588
14289,f,11,1597
14290,m,1,1622
14291,m,36,1614
14292,m,35,1615
14293,m,41,1614
14294,m,1,1611
14295,m,51,1594
14296,m,26,1615
14297,m,5,1591
14298,f,55,1595
14299,m,30,1625
14300,f,55,1613
14301,m,20,1595
14302,f,19,1621
14303,f,7,1587
14304,m,22,1621
14305,f,59,1612
14306,f,46,1610
14307,f,46,1625
14308,m,47,1625
14309,m,42,1595
14310,m,40,1597
14311,m,50,1610
14312,f,46,1598
14313,f,1,1607
14314,f,25,1603
14315,f,56,1611
14316,f,27,1610
14317,f,15,1591
14318,f,45,1621
14319,m,42,1616
14320,m,22,1617
14321,f,20,1590
14322,m,28,1591
14323,m,36,1620
14324,f,35,1589
14325,f,30,1603
14326,f,40,1615
14327,f,16,1620
14328,m,35,1595
14329,f,32,1602
14330,f,58,1605
14331,m,30,1600
14332,m,27,1604
14333,m,34,1613
14334,f,55,1618
14335,f,9,1621
14336,m,10,1622
14337,m,43,1618
14338,f,29,1624
14339,m,48,1625
14340,m,12,1608
14341,f,55,1615
14342,f,48,1593
14343,f,52,1594
14344,m,22,1605
14345,f,2,1595
14346,m,15,1595
14347,m,3,1592
14348,f,27,1597
14349,f,29,1618
14350,m,42,1595
14351,f,14,1596
14352,m,45,1615
14353,m,17,1591
14354,f,5,1606
14355,f,32,1598
14356,m,40,1596
14357,f,45,1616
14358,f,26,1596
14359,m,44,1610
14360,f,18,1603
14361,f,28,1589
14362,f,35,1624
14363,f,49,1615
14364,f,45,1599
14365,m,6,1609
14366,m,41,1602
14367,m,12,1596
14368,m,38,1612
14369,f,4,1617
14370,f,15,1594
14371,f,2,1609
14372,f,0,1593
14373,f,40,1616
14374,m,58,1590
14375,f,41,1620
14376,f,43,1617
14377,f,39,1613
14378,m,39,1599
14379,f,26,1589
14380,m,6,1614
14381,m,36,1595
14382,m,8,1587
14383,f,55,1589
14384,m,34,1621
14385,f,19,1616
14386,m,8,1611
14387,f,28,1617
14388,m,35,1610
14389,m,55,1606
14390,f,50,1594
14391,m,55,1615
14392,m,17,1613
14393,m,41,1597
14394,m,41,1590
14395,m,19,1598
14396,m,3,1589
14397,f,48,1605
14398,f,36,1607
14399,f,51,1593
14400,f,6,1625
14401,f,39,1612
14402,m,5,1596
14403,m,13,1611
14404,m,48,1605
14405,f,49,1600
14406,m,32,1606
14407,m,3,1614
14408,f,45,1599
14409,m,51,1595
14410,f,47,1602
14411,f,17,1593
14412,f,8,1608
14413,f,42,1614
14414,m,56,1623
14415,m,39,1610
14416,m,8,1623
14417,m,13,1606
14418,m,36,1623
14419,m,17,1592
14420,m,6,1622
14421,m,49,1600
14422,f,57,1590
14423,f,5,1608
14424,m,34,1622
14425,f,57,1587
14426,f,3,1589
14427,m,42,1617
14428,f,18,1586
14429,m,10,1616
14430,m,24,1625
14431,f,21,1619
14432,f,0,1608
14433,f,52,1616
14434,m,43,1604
14435,f,31,1598
14436,f,46,1593
14437,m,27,1620
14438,f,41,1611
14439,f,13,1587
14440,m,31,1609
14441,f,40,1602
14442,f,24,1601
14443,m,28,1591
14444,f,52,1603
14445,f,45,1599
14446,f,36,1608
14447,f,31,1587
14448,f,2,1600
14449,f,6,1598
14450,f,2,1609
14451,m,41,1603
14452,f,22,1607
14453,f,0,1588
14454,f,56,1621
14455,m,35,1591
14456,f,12,1611
14457,f,37,1586
14458,m,50,1590
14459,m,29,1586
14460,f,7,1619
14461,f,35,1590
14462,m,43,1617
14463,f,4,1609
14464,m,16,1600
14465,f,10,1624
14466,m,8,1616
14467,f,9,1586
14468,f,45,1605
14469,f,34,1606
14470,f,0,1587
14471,m,1,1622
14472,m,7,1610
14473,m,1,1620
14474,m,14,1607
14475,m,0,1594
14476,f,35,1616
14477,m,1,1589
14478,f,12,1592
14479,m,27,1616
14480,m,39,1609
14481,f,23,1620
14482,m,39,1604
14483,f,7,1613
14484,m,26,1621
14485,m,49,1606
14486,m,0,1607
14487,f,16,1601
14488,f,4,1597
14489,f,32,1612
14490,f,53,1621
14491,m,0,1590
14492,f,13,1614
14493,m,17,1605
14494,f,33,1603
14495,m,0,1623
14496,f,14,1604
14497,m,25,1607
14498,f,22,1625
14499,f,17,1601
14500,f,48,1616
14501,m,24,1617
14502,m,56,1608
14503,f,8,1600
14504,f,40,1586
14505,m,14,1588
14506,m,21,1616
14507,m,39,1606
14508,f,13,1620
14509,f,1,1592
14510,m,49,1607
14511,f,7,1625
14512,f,58,1597
14513,m,29,1616
14514,m,18,1615
14515,m,15,1609
14516,m,39,1624
14517,m,26,1603
14518,f,5,1625
14519,f,19,1615
14520,m,16,1601
14521,f,26,1602
14522,m,23,1621
14523,f,25,1618
14524,f,22,1602
14525,m,30,1622
14526,m,34,1599
14527,m,42,1599
14528,m,55,1595
14529,f,47,1611
14530,m,59,1615
14531,f,52,1623
14532,f,17,1605
14533,m,32,1590
14534,f,27,1606
14535,m,54,1619
14536,f,22,1589
14537,f,52,1617
14538,f,29,1621
14539,m,8,1616
14540,m,3,1613
14541,f,24,1614
14542,f,18,1604
14543,f,24,1592
14544,f,44,1607
14545,m,18,1599
14546,f,24,1602
14547,f,41,1623
14548,f,32,1589
14549,f,46,1612
14550,m,23,1610
14551,m,47,1613
14552,f,27,1602
14553,f,52,1625
14554,f,15,1594
14555,f,59,1620
14556,m,31,1587
14557,m,33,1592
14558,m,32,1609
14559,m,11,1621
14560,m,54,1614
14561,f,11,1609
14562,m,20,1587
14563,m,2,1601
14564,m,58,1596
14565,f,44,1623
14566,m,47,1593
14567,m,5,1615
14568,f,8,1601
14569,m,56,1599
14570,m,18,1600
14571,m,0,1604
14572,f,2,1607
14573,m,24,1623
14574,m,13,1603
14575,m,50,1620
14576,m,8,1595
14577,m,48,1590
14578,m,32,1622
14579,m,33,1616
14580,f,49,1613
14581,m,4,1614
14582,f,39,1593
14583,m,31,1586
14584,m,34,1608
14585,m,13,1600
14586,m,48,1595
14587,m,41,1612
14588,m,35,1612
14589,m,28,1587
14590,f,32,1613
14591,f,17,1609
14592,m,36,1617
14593,f,59,1615
14594,m,10,1611
14595,f,47,1625
14596,m,53,1592
14597,m,5,1597
14598,f,7,1609
14599,m,9,1620
14600,f,0,1616
14601,f,0,1586
14602,f,50,1625
14603,f,55,1597
14604,m,51,1600
14605,f,8,1595
14606,m,13,1606
14607,m,40,1616
14608,f,40,1587
14609,f,17,1587
14610,f,3,1613
14611,m,18,1604
14612,m,53,1592
14613,f,38,1593
14614,m,41,1591
14615,m,13,1614
14616,f,54,1611
14617,f,21,1593
14618,m,20,1601
14619,m,43,1603
14620,f,52,1608
14621,m,21,1598
14622,m,33,1610
14623,f,23,1623
14624,f,11,1597
14625,m,43,1615
14626,m,30,1602
14627,f,57,1596
14628,m,20,1621
14629,m,59,1608
14630,f,27,1624
14631,f,37,1607
14632,m,13,1605
14633,m,22,1619
14634,m,22,1601
14635,m,27,1610
14636,m,11,1622
14637,f,12,1623
14638,f,13,1606
14639,f,39,1603
14640,f,3,1623
14641,m,31,1621
14642,m,59,1618
14643,f,39,1609
14644,f,47,1592
14645,m,42,1606
14646,f,43,1600
14647,m,54,1619
14648,f,59,1600
14649,m,44,1594
14650,f,51,1588
14651,m,11,1604
14652,m,54,1604
14653,m,4,1591
14654,m,30,1602
14655,m,34,1622
14656,m,56,1608
14657,f,33,1606
14658,m,58,1618
14659,f,16,1595
14660,f,6,1617
14661,m,12,1601
14662,f,17,1617
14663,m,53,1625
14664,f,51,1602
14665,f,36,1604
14666,f,52,1587
14667,m,42,1604
14668,m,3,1604
14669,f,15,1601
14670,m,12,1608
14671,m,37,1591
14672,f,39,1613
14673,m,31,1621
14674,f,53,1598
14675,f,0,1590
14676,m,42,1619
14677,m,59,1595
14678,f,45,1601
14679,f,55,1587
14680,f,21,1589
14681,f,21,1598
14682,f,15,1624
14683,f,51,1609
14684,m,37,1622
14685,f,32,1613
14686,f,48,1623
14687,m,49,1601
14688,f,7,1605
14689,m,53,1620
14690,m,8,1606
14691,m,27,1624
14692,f,12,1604
14693,m,13,1608
14694,m,59,1601
14695,m,18,1615
14696,m,23,1614
14697,m,26,1603
14698,m,11,1590
14699,m,44,1593
14700,f,19,1621
14701,m,19,1610
14702,f,23,1594
14703,f,39,1589
14704,f,6,1616
14705,m,41,1614
14706,m,19,1588
14707,f,26,1614
14708,f,26,1594
14709,m,32,1587
14710,f,32,1625
14711,f,51,1624
14712,f,45,1596
14713,m,21,1598
14714,f,4,1610
14715,f,37,1598
14716,f,14,1624
14717,m,47,1611
14718,m,47,1620
14719,m,59,1621
14720,f,42,1617
14721,f,48,1625
14722,f,7,1594
14723,f,54,1624
14724,f,28,1624
14725,f,34,1598
14726,m,51,1622
14727,f,18,1587
14728,f,1,1599
14729,m,45,1604
14730,m,35,1600
14731,f,17,1590
14732,f,28,1600
14733,m,57,1612
14734,f,27,1591
14735,m,49,1621
14736,m,25,1607
14737,f,59,1613
14738,m,3,1586
14739,f,38,1596
14740,f,17,1590
14741,m,3,1609
14742,m,24,1615
14743,m,1,1587
14744,m,55,1594
14745,m,39,1602
14746,f,15,1607
14747,f,22,1594
14748,m,13,1588
14749,f,43,1599
14750,m,42,1618
14751,m,51,1620
14752,f,11,1619
14753,f,11,1611
14754,m,44,1621
14755,f,8,1613
14756,m,38,1599
14757,m,13,1605
14758,f,28,1610
14759,f,55,1605
14760,m,0,1616
14761,f,18,1606
14762,f,19,1624
14763,f,8,1591
14764,f,34,1612
14765,f,21,1618
14766,f,49,1618
14767,f,52,1597
14768,f,34,1603
14769,f,29,1608
14770,m,5,1602
14771,m,43,1606
14772,f,23,1591
14773,f,56,1592
14774,f,46,1619
14775,m,1,1595
14776,f,54,1589
14777,m,55,1600
14778,f,32,1606
14779,f,59,1606
14780,m,38,1611
14781,m,18,1617
14782,m,18,1612
14783,f,46,1602
14784,m,42,1603
14785,m,38,1600
14786,f,14,1608
14787,f,15,1599
14788,f,31,1609
14789,m,59,1594
14790,f,56,1609
14791,m,33,1610
14792,f,2,1590
14793,f,46,1600
14794,m,18,1592
14795,f,41,1603
14796,m,43,1595
14797,m,6,1588
14798,m,13,1593
14799,m,16,1600
14800,m,47,1586
14801,f,42,1622
14802,f,27,1625
14803,f,30,1592
14804,m,25,1617
14805,m,30,1620
14806,f,57,1606
14807,f,33,1588
14808,f,9,1615
14809,m,38,1593
14810,m,17,1619
14811,m,35,1623
14812,f,26,1620
14813,m,18,1616
14814,f,13,1624
14815,f,46,1618
14816,m,35,1608
14817,f,59,1601
14818,f,58,1615
14819,f,51,1603
14820,m,12,1618
14821,f,54,1624
14822,f,56,1587
14823,m,38,1596
14824,f,21,1589
14825,f,54,1612
14826,f,19,1591
14827,m,2,1607
14828,m,5,1590
14829,f,38,1598
14830,m,24,1593
14831,f,10,1597
14832,f,58,1597
14833,m,59,1594
14834,f,54,1619
14835,f,30,1601
14836,m,37,1602
14837,f,19,1594
14838,m,52,1587
14839,f,36,1596
14840,f,45,1624
14841,f,19,1617
14842,f,33,1587
14843,m,20,1590
14844,m,7,1602
14845,f,37,1621
14846,m,42,1610
14847,m,4,1616
14848,m,25,1610
14849,f,50,1600
14850,f,18,1586
14851,m,14,1605
14852,f,30,1605
14853,f,16,1619
14854,f,36,1625
14855,f,50,1624
14856,m,8,1587
14857,m,4,1604
14858,m,4,1618
14859,m,25,1615
14860,f,55,1623
14861,f,36,1616
14862,f,23,1625
14863,f,28,1625
14864,f,53,1623
14865,m,59,1593
14866,m,40,1618
14867,m,20,1586
14868,f,48,1604
14869,m,56,1610
14870,f,25,1601
14871,f,11,1603
14872,f,0,1591
14873,m,50,1605
14874,f,31,1614
14875,f,19,1593
14876,f,26,1612
14877,f,36,1620
14878,f,37,1609
14879,f,53,1596
14880,f,47,1610
14881,f,4,1613
14882,f,42,1609
14883,m,3,1612
14884,f,26,1621
14885,f,43,1607
14886,m,51,1615
14887,f,33,1625
14888,f,52,1624
14889,m,18,1592
14890,m,5,1589
14891,f,22,1621
14892,f,52,1616
14893,m,27,1597
14894,f,10,1613
14895,m,34,1604
14896,f,34,1587
14897,m,13,1593
14898,f,12,1595
14899,m,5,1591
14900,m,30,1624
14901,f,22,1599
14902,f,42,1616
14903,m,53,1605
